Movie-Title,rating,Director_stars
Shrek,7.9,"Directors:Andrew Adamson, Vicky Jenson,  Stars:Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
Bullitt,7.4,"Director:Peter Yates,  Stars:Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon"
"Monsters, Inc.",8.1,"Directors:Pete Docter, David Silverman, Lee Unkrich,  Stars:Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi"
Mean Girls,7.0,"Director:Mark Waters,  Stars:Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey"
"Crazy, Stupid, Love.",7.4,"Directors:Glenn Ficarra, John Requa,  Stars:Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
Spider-Man: Far from Home,7.5,"Director:Jon Watts,  Stars:Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
Enchanted,7.0,"Director:Kevin Lima,  Stars:Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey"
Endless Love,6.3,"Director:Shana Feste,  Stars:Gabriella Wilde, Alex Pettyfer, Bruce Greenwood, Robert Patrick"
Hacksaw Ridge,8.1,"Director:Mel Gibson,  Stars:Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
The Godfather: Part II,9.0,"Director:Francis Ford Coppola,  Stars:Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
Hocus Pocus,6.9,"Director:Kenny Ortega,  Stars:Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz"
Moana,7.6,"Directors:Ron Clements, John Musker, Don Hall, Chris Williams,  Stars:Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
The Witches of Eastwick,6.6,"Director:George Miller,  Stars:Jack Nicholson, Cher, Susan Sarandon, Michelle Pfeiffer"
Catch Me If You Can,8.1,"Director:Steven Spielberg,  Stars:Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
The Sixth Sense,8.1,"Director:M. Night Shyamalan,  Stars:Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
Salò o le 120 giornate di Sodoma,5.9,"Director:Pier Paolo Pasolini,  Stars:Paolo Bonacelli, Giorgio Cataldi, Uberto Paolo Quintavalle, Aldo Valletti"
Sucker Punch,6.0,"Director:Zack Snyder,  Stars:Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone"
Drive,7.8,"Director:Nicolas Winding Refn,  Stars:Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
The Hangover,7.7,"Director:Todd Phillips,  Stars:Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms"
The Fast and the Furious: Tokyo Drift,6.0,"Director:Justin Lin,  Stars:Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette"
Aladdin,6.9,"Director:Guy Ritchie,  Stars:Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari"
